id,room_id,partner_id,room_recommendation_action_id,snapshot_date,discount_pct,estimated_inquiry_uplift_pct,estimated_reservation_uplift_pct,estimated_revenue_uplift_pct,expected_revenue,expected_occupancy_rate,simulation_type,confidence_score,simulation_factors_json,is_recommended,simulated_at,created_at,updated_at
1,1,12,1,12/5/2026,0,0,0,0,1044000,96.8,non_discount,73.8,"{""campaign_type"": null, ""price_gap_pct"": 13.4, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""monitor_only"", ""simulation_type"": ""non_discount"", ""discount_targets"": [], ""benchmark_strength"": ""medium"", ""anchor_revenue_used"": 1044000, ""targeted_daily_value"": 0, ""discount_target_scope"": ""none"", ""risk_confidence_score"": 90, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
2,2,12,2,12/5/2026,0,0,0,0,729015,6.5,campaign_privilege,57.36,"{""campaign_type"": 2, ""price_gap_pct"": -12, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""strong"", ""anchor_revenue_used"": 729015, ""targeted_daily_value"": 4715, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 57.36, ""discount_component_share"": 0.1358, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
3,2,12,2,12/5/2026,5,5.12,4.03,3.18,752197.68,6.76,campaign_privilege,60.36,"{""campaign_type"": 2, ""price_gap_pct"": -12, ""hybrid_metrics"": {""total_uplift_score"": 3.18, ""long_term_growth_bonus"": 1.21, ""short_term_revenue_impact"": 1.97}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 4715, ""anchor_revenue_used"": 729015, ""targeted_daily_value"": 4715, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 57.36, ""discount_component_share"": 0.1358, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
4,2,12,2,12/5/2026,10,10.23,8.06,6.36,775380.35,7.02,campaign_privilege,63.36,"{""campaign_type"": 2, ""price_gap_pct"": -12, ""hybrid_metrics"": {""total_uplift_score"": 6.36, ""long_term_growth_bonus"": 2.42, ""short_term_revenue_impact"": 3.94}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 4715, ""anchor_revenue_used"": 729015, ""targeted_daily_value"": 4715, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 57.36, ""discount_component_share"": 0.1358, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
5,2,12,2,12/5/2026,15,15.35,12.09,9.54,798563.03,7.29,campaign_privilege,66.36,"{""campaign_type"": 2, ""price_gap_pct"": -12, ""hybrid_metrics"": {""total_uplift_score"": 9.54, ""long_term_growth_bonus"": 3.63, ""short_term_revenue_impact"": 5.91}, ""primary_action"": ""campaign_launch"", ""simulation_type"": ""campaign_privilege"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 4715, ""anchor_revenue_used"": 729015, ""targeted_daily_value"": 4715, ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 57.36, ""discount_component_share"": 0.1358, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
6,3,2,3,12/5/2026,0,0,0,0,91140.64,16.1,non_discount,31.55,"{""campaign_type"": null, ""price_gap_pct"": -13.1, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""listing_refresh"", ""simulation_type"": ""non_discount"", ""discount_targets"": [], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 91140.64, ""targeted_daily_value"": 0, ""discount_target_scope"": ""none"", ""risk_confidence_score"": 52.58, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
7,4,2,4,12/5/2026,0,0,0,0,151075.86,48.4,non_discount,34.52,"{""campaign_type"": null, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""listing_refresh"", ""simulation_type"": ""non_discount"", ""discount_targets"": [], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 151075.86, ""targeted_daily_value"": 0, ""discount_target_scope"": ""none"", ""risk_confidence_score"": 57.54, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
8,5,2,5,12/5/2026,0,0,0,0,90000,8.1,non_discount,30.08,"{""campaign_type"": null, ""price_gap_pct"": 0, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""listing_refresh"", ""simulation_type"": ""non_discount"", ""discount_targets"": [], ""benchmark_strength"": ""broad"", ""anchor_revenue_used"": 90000, ""targeted_daily_value"": 0, ""discount_target_scope"": ""none"", ""risk_confidence_score"": 50.14, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
9,6,2,6,12/5/2026,0,0,0,0,120000,40.3,price_adjustment,63.57,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": 0, ""long_term_growth_bonus"": 0, ""short_term_revenue_impact"": 0}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""anchor_revenue_used"": 120000, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 77.52, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",0,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
10,6,2,6,12/5/2026,5,11.72,7.7,3.18,123816,43.4,price_adjustment,66.57,"{""campaign_type"": null, ""price_gap_pct"": 48.7, ""hybrid_metrics"": {""total_uplift_score"": 3.18, ""long_term_growth_bonus"": 2.31, ""short_term_revenue_impact"": 0.87}, ""primary_action"": ""price_adjustment"", ""simulation_type"": ""price_adjustment"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""anchor_revenue_used"": 120000, ""targeted_daily_value"": 4700, ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 77.52, ""discount_component_share"": 1, ""avg_market_occupancy_rate"": 0.7}",1,12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
